,Date,Time,Latitude,Longitude,VehicleID
256061,2013-01-12,10:18:06,53.324299,-6.212283,43073
256621,2013-01-12,10:18:37,53.324299,-6.212283,43073
256900,2013-01-12,10:18:47,53.324268,-6.212283,43073
257283,2013-01-12,10:19:07,53.324268,-6.212266,43073
257621,2013-01-12,10:19:28,53.324268,-6.212266,43073
257859,2013-01-12,10:19:36,53.324268,-6.212266,43073
258041,2013-01-12,10:19:46,53.324268,-6.212266,43073
258422,2013-01-12,10:20:08,53.324249,-6.212266,43073
258800,2013-01-12,10:20:27,53.324268,-6.212266,43073
259003,2013-01-12,10:20:39,53.324268,-6.212266,43073
259187,2013-01-12,10:20:47,53.324268,-6.212283,43073
259552,2013-01-12,10:21:06,53.324268,-6.212266,43073
259978,2013-01-12,10:21:28,53.324249,-6.212283,43073
260267,2013-01-12,10:21:42,53.324249,-6.212283,43073
260329,2013-01-12,10:21:46,53.324268,-6.212283,43073
260752,2013-01-12,10:22:07,53.324268,-6.212266,43073
261071,2013-01-12,10:22:27,53.324249,-6.21225,43073
261433,2013-01-12,10:22:43,53.324249,-6.21225,43073
261503,2013-01-12,10:22:48,53.324268,-6.212234,43073
261821,2013-01-12,10:23:06,53.324268,-6.21225,43073
262262,2013-01-12,10:23:26,53.324249,-6.21225,43073
262403,2013-01-12,10:23:45,53.324249,-6.21225,43073
262641,2013-01-12,10:23:47,53.324268,-6.212266,43073
262981,2013-01-12,10:24:08,53.324284,-6.2123,43073
263318,2013-01-12,10:24:26,53.324268,-6.212283,43073
263673,2013-01-12,10:24:45,53.324268,-6.212283,43073
263750,2013-01-12,10:24:47,53.324268,-6.212283,43073
264132,2013-01-12,10:25:09,53.324268,-6.212283,43073
264491,2013-01-12,10:25:28,53.324268,-6.212283,43073
264845,2013-01-12,10:25:46,53.324268,-6.212283,43073
265223,2013-01-12,10:26:06,53.324268,-6.212283,43073
265599,2013-01-12,10:26:27,53.324268,-6.212283,43073
265993,2013-01-12,10:26:47,53.324268,-6.212283,43073
266385,2013-01-12,10:27:07,53.324268,-6.212283,43073
266705,2013-01-12,10:27:26,53.324268,-6.212283,43073
267117,2013-01-12,10:27:46,53.324268,-6.212283,43073
267585,2013-01-12,10:28:09,53.324268,-6.212283,43073
267879,2013-01-12,10:28:31,53.324268,-6.212283,43073
268318,2013-01-12,10:28:48,53.324268,-6.212283,43073
268629,2013-01-12,10:29:06,53.324268,-6.212283,43073
268965,2013-01-12,10:29:28,53.324268,-6.212283,43073
269495,2013-01-12,10:29:51,53.324268,-6.212283,43073
269763,2013-01-12,10:30:07,53.324268,-6.212283,43073
270578,2013-01-12,10:30:50,53.324356,-6.212106,43073
271241,2013-01-12,10:31:26,53.324867,-6.208507,43073
271650,2013-01-12,10:31:47,53.325043,-6.207619,43073
271997,2013-01-12,10:32:07,53.324284,-6.212326,43073
272344,2013-01-12,10:32:25,53.32629,-6.207856,43073
272810,2013-01-12,10:32:48,53.328102,-6.208757,43073
273150,2013-01-12,10:33:08,53.328621,-6.208836,43073
273511,2013-01-12,10:33:26,53.328999,-6.208895,43073
273929,2013-01-12,10:33:47,53.330685,-6.209364,43073
274300,2013-01-12,10:34:07,53.331966,-6.210375,43073
274596,2013-01-12,10:34:26,53.332394,-6.211245,43073
275035,2013-01-12,10:34:46,53.331638,-6.212632,43073
275480,2013-01-12,10:35:09,53.331894,-6.214257,43073
275814,2013-01-12,10:35:29,53.332134,-6.214963,43073
276206,2013-01-12,10:35:47,53.332298,-6.215444,43073
276577,2013-01-12,10:36:08,53.332264,-6.215334,43073
276932,2013-01-12,10:36:26,53.333569,-6.21704,43073
277351,2013-01-12,10:36:47,53.334503,-6.218388,43073
277709,2013-01-12,10:37:07,53.3353,-6.219552,43073
278073,2013-01-12,10:37:25,53.335369,-6.219652,43073
278509,2013-01-12,10:37:48,53.335953,-6.221408,43073
278701,2013-01-12,10:38:06,53.33688,-6.222294,43073
279238,2013-01-12,10:38:29,53.337658,-6.222468,43073
279646,2013-01-12,10:38:47,53.337658,-6.222468,43073
280141,2013-01-12,10:39:11,53.337658,-6.222468,43073
280345,2013-01-12,10:39:26,53.338257,-6.222735,43073
280843,2013-01-12,10:39:48,53.338631,-6.223027,43073
281188,2013-01-12,10:40:06,53.339748,-6.22346,43073
281577,2013-01-12,10:40:27,53.340126,-6.223919,43073
281980,2013-01-12,10:40:47,53.340931,-6.225365,43073
282375,2013-01-12,10:41:07,53.341831,-6.227127,43073
282703,2013-01-12,10:41:27,53.341789,-6.227433,43073
283165,2013-01-12,10:41:51,53.341789,-6.227433,43073
283347,2013-01-12,10:42:10,53.341789,-6.227433,43073
